strategy,date,equity
h2_nowcast_trends_monthly,2018-09-13,1.03198
h2_nowcast_trends_monthly,2018-09-14,1.029077
h2_nowcast_trends_monthly,2018-09-17,1.021509
h2_nowcast_trends_monthly,2018-09-18,1.027715
h2_nowcast_trends_monthly,2018-09-19,1.023601
h2_nowcast_trends_monthly,2018-09-20,1.027594
h2_nowcast_trends_monthly,2018-09-21,1.035031
h2_nowcast_trends_monthly,2018-09-24,1.037477
h2_nowcast_trends_monthly,2018-09-25,1.031903
h2_nowcast_trends_monthly,2018-09-26,1.03306
h2_nowcast_trends_monthly,2018-09-27,0.96621
h2_nowcast_trends_monthly,2018-09-28,0.969974
h2_nowcast_trends_monthly,2018-10-01,0.965008
h2_nowcast_trends_monthly,2018-10-02,0.960209
h2_nowcast_trends_monthly,2018-10-03,0.968236
h2_nowcast_trends_monthly,2018-10-04,0.959269
h2_nowcast_trends_monthly,2018-10-05,0.95326
h2_nowcast_trends_monthly,2018-10-08,0.956293
h2_nowcast_trends_monthly,2018-10-09,0.956113
h2_nowcast_trends_monthly,2018-10-10,0.959231
h2_nowcast_trends_monthly,2018-10-11,0.963151
h2_nowcast_trends_monthly,2018-10-12,0.961948
h2_nowcast_trends_monthly,2018-10-15,0.961103
h2_nowcast_trends_monthly,2018-10-16,0.963522
h2_nowcast_trends_monthly,2018-10-17,0.9637
h2_nowcast_trends_monthly,2018-10-18,0.962058
h2_nowcast_trends_monthly,2018-10-19,0.956221
h2_nowcast_trends_monthly,2018-10-22,0.947523
h2_nowcast_trends_monthly,2018-10-23,0.94785
h2_nowcast_trends_monthly,2018-10-24,0.928503
h2_nowcast_trends_monthly,2018-10-25,0.935646
h2_nowcast_trends_monthly,2018-10-26,0.9422
h2_nowcast_trends_monthly,2018-10-29,0.956097
h2_nowcast_trends_monthly,2018-10-30,0.936835
h2_nowcast_trends_monthly,2018-10-31,0.937576
h2_nowcast_trends_monthly,2018-11-01,0.941351
h2_nowcast_trends_monthly,2018-11-02,0.936978
h2_nowcast_trends_monthly,2018-11-05,0.94006
h2_nowcast_trends_monthly,2018-11-06,0.940609
h2_nowcast_trends_monthly,2018-11-07,0.938565
h2_nowcast_trends_monthly,2018-11-08,0.952973
h2_nowcast_trends_monthly,2018-11-09,0.955853
h2_nowcast_trends_monthly,2018-11-12,0.963393
h2_nowcast_trends_monthly,2018-11-13,0.967315
h2_nowcast_trends_monthly,2018-11-14,0.966673
h2_nowcast_trends_monthly,2018-11-15,0.967471
h2_nowcast_trends_monthly,2018-11-16,0.970264
h2_nowcast_trends_monthly,2018-11-19,0.982593
h2_nowcast_trends_monthly,2018-11-20,0.980807
h2_nowcast_trends_monthly,2018-11-21,0.9727
h2_nowcast_trends_monthly,2018-11-22,0.964293
h2_nowcast_trends_monthly,2018-11-23,0.971133
h2_nowcast_trends_monthly,2018-11-26,0.97214
h2_nowcast_trends_monthly,2018-11-27,0.972206
h2_nowcast_trends_monthly,2018-11-28,0.967166
h2_nowcast_trends_monthly,2018-11-29,0.958081
h2_nowcast_trends_monthly,2018-11-30,0.958979
h2_nowcast_trends_monthly,2018-12-03,0.95723
h2_nowcast_trends_monthly,2018-12-04,0.963347
h2_nowcast_trends_monthly,2018-12-05,0.968438
h2_nowcast_trends_monthly,2018-12-06,0.966474
h2_nowcast_trends_monthly,2018-12-07,0.957655
h2_nowcast_trends_monthly,2018-12-10,0.953342
h2_nowcast_trends_monthly,2018-12-11,0.950718
h2_nowcast_trends_monthly,2018-12-12,0.941294
h2_nowcast_trends_monthly,2018-12-13,0.933299
h2_nowcast_trends_monthly,2018-12-14,0.937484
h2_nowcast_trends_monthly,2018-12-17,0.935764
h2_nowcast_trends_monthly,2018-12-18,0.938777
h2_nowcast_trends_monthly,2018-12-19,0.93818
h2_nowcast_trends_monthly,2018-12-20,0.936804
h2_nowcast_trends_monthly,2018-12-21,0.936717
h2_nowcast_trends_monthly,2018-12-24,0.942187
h2_nowcast_trends_monthly,2018-12-25,0.950675
h2_nowcast_trends_monthly,2018-12-26,0.948674
h2_nowcast_trends_monthly,2018-12-27,0.952548
h2_nowcast_trends_monthly,2018-12-28,0.951894
h2_nowcast_trends_monthly,2018-12-31,0.950605
h2_nowcast_trends_monthly,2019-01-01,0.950605
h2_nowcast_trends_monthly,2019-01-02,0.948704
h2_nowcast_trends_monthly,2019-01-03,0.948704
h2_nowcast_trends_monthly,2019-01-04,0.948704
h2_nowcast_trends_monthly,2019-01-07,0.948704
h2_nowcast_trends_monthly,2019-01-08,0.948704
h2_nowcast_trends_monthly,2019-01-09,0.948704
h2_nowcast_trends_monthly,2019-01-10,0.948704
h2_nowcast_trends_monthly,2019-01-11,0.948704
h2_nowcast_trends_monthly,2019-01-14,0.948704
h2_nowcast_trends_monthly,2019-01-15,0.948704
h2_nowcast_trends_monthly,2019-01-16,0.948704
h2_nowcast_trends_monthly,2019-01-17,0.948704
