look_id,reason,logged
valentino|FW2024|007,image download failed,2026-07-03
versace|FW2024|007,image download failed,2026-07-03
balenciaga|FW2025|007,image download failed,2026-07-03
brunello-cucinelli|FW2025|007,image download failed,2026-07-03
burberry|FW2025|007,image download failed,2026-07-03
chloe|FW2025|007,image download failed,2026-07-03
christian-dior|FW2025|007,image download failed,2026-07-03
fendi|FW2025|007,image download failed,2026-07-03
gucci|FW2025|007,image download failed,2026-07-03
hermes|FW2025|007,image download failed,2026-07-03
loewe|FW2025|007,image download failed,2026-07-03
louis-vuitton|FW2025|007,image download failed,2026-07-03
miu-miu|FW2025|007,image download failed,2026-07-03
prada|FW2025|007,image download failed,2026-07-03
ralph-lauren|FW2025|007,image download failed,2026-07-03
saint-laurent|FW2025|007,image download failed,2026-07-03
tods|FW2025|007,image download failed,2026-07-03
valentino|FW2025|007,image download failed,2026-07-03
versace|FW2025|007,image download failed,2026-07-03
balenciaga|FW2026|007,image download failed,2026-07-03
bottega-veneta|FW2026|007,image download failed,2026-07-03
brunello-cucinelli|FW2026|007,image download failed,2026-07-03
burberry|FW2026|007,image download failed,2026-07-03
celine|FW2026|007,image download failed,2026-07-03
chloe|FW2026|007,image download failed,2026-07-03
christian-dior|FW2026|007,image download failed,2026-07-03
fendi|FW2026|007,image download failed,2026-07-03
gucci|FW2026|007,image download failed,2026-07-03
hermes|FW2026|007,image download failed,2026-07-03
loewe|FW2026|007,image download failed,2026-07-03
louis-vuitton|FW2026|007,image download failed,2026-07-03
miu-miu|FW2026|007,image download failed,2026-07-03
prada|FW2026|007,image download failed,2026-07-03
ralph-lauren|FW2026|007,image download failed,2026-07-03
saint-laurent|FW2026|007,image download failed,2026-07-03
salvatore-ferragamo|FW2026|007,image download failed,2026-07-03
tods|FW2026|007,image download failed,2026-07-03
valentino|FW2026|007,image download failed,2026-07-03
balenciaga|SS2016|007,image download failed,2026-07-03
bottega-veneta|SS2016|007,image download failed,2026-07-03
brunello-cucinelli|SS2016|007,image download failed,2026-07-03
burberry|SS2016|007,image download failed,2026-07-03
celine|SS2016|007,image download failed,2026-07-03
chloe|SS2016|007,image download failed,2026-07-03
christian-dior|SS2016|007,image download failed,2026-07-03
fendi|SS2016|007,image download failed,2026-07-03
gucci|SS2016|007,image download failed,2026-07-03
hermes|SS2016|007,image download failed,2026-07-03
loewe|SS2016|007,image download failed,2026-07-03
louis-vuitton|SS2016|007,image download failed,2026-07-03
miu-miu|SS2016|007,image download failed,2026-07-03
moncler|SS2016|007,image download failed,2026-07-03
prada|SS2016|007,image download failed,2026-07-03
ralph-lauren|SS2016|007,image download failed,2026-07-03
saint-laurent|SS2016|007,image download failed,2026-07-03
salvatore-ferragamo|SS2016|007,image download failed,2026-07-03
tods|SS2016|007,image download failed,2026-07-03
valentino|SS2016|007,image download failed,2026-07-03
versace|SS2016|007,image download failed,2026-07-03
balenciaga|SS2017|007,image download failed,2026-07-03
bottega-veneta|SS2017|007,image download failed,2026-07-03
brunello-cucinelli|SS2017|007,image download failed,2026-07-03
celine|SS2017|007,image download failed,2026-07-03
chloe|SS2017|007,image download failed,2026-07-03
christian-dior|SS2017|007,image download failed,2026-07-03
fendi|SS2017|007,image download failed,2026-07-03
gucci|SS2017|007,image download failed,2026-07-03
hermes|SS2017|007,image download failed,2026-07-03
loewe|SS2017|007,image download failed,2026-07-03
louis-vuitton|SS2017|007,image download failed,2026-07-03
miu-miu|SS2017|007,image download failed,2026-07-03
moncler|SS2017|007,image download failed,2026-07-03
prada|SS2017|007,image download failed,2026-07-03
saint-laurent|SS2017|007,image download failed,2026-07-03
tods|SS2017|007,image download failed,2026-07-03
valentino|SS2017|007,image download failed,2026-07-03
versace|SS2017|007,image download failed,2026-07-03
balenciaga|SS2018|007,image download failed,2026-07-03
bottega-veneta|SS2018|007,image download failed,2026-07-03
brunello-cucinelli|SS2018|007,image download failed,2026-07-03
celine|SS2018|007,image download failed,2026-07-03
chloe|SS2018|007,image download failed,2026-07-03
christian-dior|SS2018|007,image download failed,2026-07-03
fendi|SS2018|007,image download failed,2026-07-03
gucci|SS2018|007,image download failed,2026-07-03
hermes|SS2018|007,image download failed,2026-07-03
loewe|SS2018|007,image download failed,2026-07-03
louis-vuitton|SS2018|007,image download failed,2026-07-03
miu-miu|SS2018|007,image download failed,2026-07-03
moncler|SS2018|007,image download failed,2026-07-03
prada|SS2018|007,image download failed,2026-07-03
ralph-lauren|SS2018|007,image download failed,2026-07-03
saint-laurent|SS2018|007,image download failed,2026-07-03
salvatore-ferragamo|SS2018|007,image download failed,2026-07-03
tods|SS2018|007,image download failed,2026-07-03
valentino|SS2018|007,image download failed,2026-07-03
versace|SS2018|007,image download failed,2026-07-03
balenciaga|SS2019|007,image download failed,2026-07-03
brunello-cucinelli|SS2019|007,image download failed,2026-07-03
burberry|SS2019|007,image download failed,2026-07-03
celine|SS2019|007,image download failed,2026-07-03
chloe|SS2019|007,image download failed,2026-07-03
christian-dior|SS2019|007,image download failed,2026-07-03
