event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index
E00428,milan,FW,2015,BC.MI,BC.MI,Brunello Cucinelli,1,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
E00429,milan,FW,2015,MONC.MI,MONC.MI,Moncler,1,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
E00430,milan,FW,2015,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
E00431,milan,FW,2015,MC.PA,MC.PA,Fendi,1,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
E00432,paris,FW,2015,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2015-03-04,2015-03-04,2015-03-09,^FCHI
E00433,paris,FW,2015,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2015-03-04,2015-03-04,2015-03-09,^FCHI
E00434,paris,FW,2015,RMS.PA,RMS.PA,Hermès,1,2015-03-04,2015-03-04,2015-03-09,^FCHI
E00435,new_york,SS,2015,CPRI,CPRI,Michael Kors,1,2015-09-11,2015-09-11,2015-09-17,^GSPC
E00436,new_york,SS,2015,TPR,TPR,Coach,1,2015-09-11,2015-09-11,2015-09-17,^GSPC
E00437,new_york,SS,2015,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2015-09-11,2015-09-11,2015-09-17,^GSPC
E00438,new_york,SS,2015,RL,RL,Ralph Lauren,1,2015-09-11,2015-09-11,2015-09-17,^GSPC
E00439,london,SS,2015,BRBY.L,BRBY.L,Burberry,1,2015-09-18,2015-09-18,2015-09-23,^FTSE
