date,material,nowcast_z,direction,tickers
2020-04-01,denim,-2.4952,short,CT=F
2020-04-01,leather,-1.0324,short,LE=F
2020-04-01,nylon,,flat,3402.T;CL=F
2020-04-01,polyester,-2.7512,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-04-01,technical,,flat,3402.T
2020-04-01,viscose,-2.1039,short,LNZ.VI
2020-05-01,cotton,-1.0856,short,CT=F
2020-05-01,denim,-2.1616,short,CT=F
2020-05-01,leather,-1.2204,short,LE=F
2020-05-01,nylon,,flat,3402.T;CL=F
2020-05-01,polyester,-3.5824,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-05-01,technical,,flat,3402.T
2020-05-01,viscose,0.0,flat,LNZ.VI
2020-06-01,cotton,1.2898,long,CT=F
2020-06-01,denim,-1.0643,short,CT=F
2020-06-01,leather,-1.0961,short,LE=F
2020-06-01,nylon,,flat,3402.T;CL=F
2020-06-01,polyester,-2.3113,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-06-01,technical,,flat,3402.T
2020-06-01,viscose,3.3166,long,LNZ.VI
2020-07-01,cotton,2.0268,long,CT=F
2020-07-01,denim,-0.7194,flat,CT=F
2020-07-01,leather,-0.8837,flat,LE=F
2020-07-01,nylon,,flat,3402.T;CL=F
2020-07-01,polyester,-0.8864,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-07-01,technical,,flat,3402.T
2020-07-01,viscose,2.196,long,LNZ.VI
2020-08-01,cotton,1.7808,long,CT=F
2020-08-01,denim,0.3276,flat,CT=F
2020-08-01,leather,-0.8444,flat,LE=F
2020-08-01,nylon,,flat,3402.T;CL=F
2020-08-01,polyester,0.0716,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-08-01,technical,,flat,3402.T
2020-08-01,viscose,1.8129,long,LNZ.VI
2020-09-01,cotton,0.9766,flat,CT=F
2020-09-01,denim,0.6599,flat,CT=F
2020-09-01,leather,-0.5668,flat,LE=F
2020-09-01,nylon,,flat,3402.T;CL=F
2020-09-01,polyester,0.0716,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-09-01,technical,,flat,3402.T
2020-09-01,viscose,1.5532,long,LNZ.VI
2020-10-01,cotton,0.2978,flat,CT=F
2020-10-01,denim,0.9552,flat,CT=F
2020-10-01,leather,0.1272,flat,LE=F
2020-10-01,nylon,,flat,3402.T;CL=F
2020-10-01,polyester,0.0716,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-10-01,technical,,flat,3402.T
2020-10-01,viscose,-0.4282,flat,LNZ.VI
2020-11-01,cotton,0.2978,flat,CT=F
2020-11-01,denim,1.4763,long,CT=F
2020-11-01,leather,0.835,flat,LE=F
2020-11-01,nylon,,flat,3402.T;CL=F
2020-11-01,polyester,0.1495,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-11-01,technical,,flat,3402.T
2020-11-01,viscose,-0.4282,flat,LNZ.VI
2020-12-01,cotton,0.2485,flat,CT=F
2020-12-01,denim,2.3353,long,CT=F
2020-12-01,leather,0.9973,flat,LE=F
2020-12-01,nylon,,flat,3402.T;CL=F
2020-12-01,polyester,-0.7107,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-12-01,technical,,flat,3402.T
2020-12-01,viscose,-0.4282,flat,LNZ.VI
2021-01-01,cotton,-0.468,flat,CT=F
2021-01-01,denim,1.4219,long,CT=F
2021-01-01,leather,0.8192,flat,LE=F
2021-01-01,nylon,,flat,3402.T;CL=F
2021-01-01,polyester,0.4183,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-01-01,technical,,flat,3402.T
2021-01-01,viscose,-1.2845,short,LNZ.VI
2021-02-01,cotton,-0.468,flat,CT=F
2021-02-01,denim,0.7505,flat,CT=F
2021-02-01,leather,0.1993,flat,LE=F
2021-02-01,nylon,,flat,3402.T;CL=F
2021-02-01,polyester,0.4183,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-02-01,technical,,flat,3402.T
2021-02-01,viscose,-0.4282,flat,LNZ.VI
2021-03-01,cotton,0.1091,flat,CT=F
2021-03-01,denim,0.2561,flat,CT=F
2021-03-01,leather,-0.1119,flat,LE=F
2021-03-01,nylon,,flat,3402.T;CL=F
2021-03-01,polyester,1.6583,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-03-01,technical,,flat,3402.T
2021-03-01,viscose,0.4282,flat,LNZ.VI
2021-04-01,cotton,0.7198,flat,CT=F
2021-04-01,denim,0.6396,flat,CT=F
2021-04-01,leather,-0.2877,flat,LE=F
2021-04-01,nylon,,flat,3402.T;CL=F
2021-04-01,polyester,2.7639,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-04-01,technical,,flat,3402.T
2021-04-01,viscose,0.3578,flat,LNZ.VI
2021-05-01,cotton,0.6171,flat,CT=F
2021-05-01,denim,0.9704,flat,CT=F
2021-05-01,leather,-0.5206,flat,LE=F
2021-05-01,nylon,,flat,3402.T;CL=F
2021-05-01,polyester,2.8554,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-05-01,technical,,flat,3402.T
2021-05-01,viscose,1.1845,long,LNZ.VI
2021-06-01,cotton,1.5,long,CT=F
2021-06-01,denim,0.3346,flat,CT=F
2021-06-01,leather,-0.5966,flat,LE=F
2021-06-01,nylon,,flat,3402.T;CL=F
2021-06-01,polyester,3.6147,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-06-01,technical,,flat,3402.T
2021-06-01,viscose,0.9997,flat,LNZ.VI
2021-07-01,cotton,2.2302,long,CT=F
2021-07-01,denim,-0.4362,flat,CT=F
2021-07-01,leather,-1.3323,short,LE=F
2021-07-01,nylon,,flat,3402.T;CL=F
2021-07-01,polyester,1.8418,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-07-01,technical,,flat,3402.T
2021-07-01,viscose,0.9997,flat,LNZ.VI
2021-08-01,cotton,1.8956,long,CT=F
2021-08-01,denim,-0.2043,flat,CT=F
2021-08-01,leather,-1.0729,short,LE=F
2021-08-01,nylon,0.2887,flat,3402.T;CL=F
2021-08-01,polyester,2.0186,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-08-01,technical,,flat,3402.T
2021-08-01,viscose,0.9997,flat,LNZ.VI
2021-09-01,cotton,0.9213,flat,CT=F
2021-09-01,denim,0.8814,flat,CT=F
2021-09-01,leather,-0.4397,flat,LE=F
2021-09-01,nylon,0.2887,flat,3402.T;CL=F
