retailer,month,material,share,n_items,known_date,thin_sample
asos,2021-03,technical,0.026316,38,2021-03-31,False
asos,2021-03,viscose,0.060789,38,2021-03-31,False
asos,2021-03,wool,0.006842,38,2021-03-31,False
asos,2021-04,cashmere,0.0,31,2021-04-30,False
asos,2021-04,cotton,0.13871,31,2021-04-30,False
asos,2021-04,denim,0.0,31,2021-04-30,False
asos,2021-04,elastane,0.02132,31,2021-04-30,False
asos,2021-04,leather,0.12043,31,2021-04-30,False
asos,2021-04,linen,0.0,31,2021-04-30,False
asos,2021-04,nylon,0.026901,31,2021-04-30,False
asos,2021-04,other,0.265376,31,2021-04-30,False
asos,2021-04,polyester,0.366618,31,2021-04-30,False
asos,2021-04,silk,0.0,31,2021-04-30,False
asos,2021-04,technical,0.006452,31,2021-04-30,False
asos,2021-04,viscose,0.054194,31,2021-04-30,False
asos,2021-04,wool,0.0,31,2021-04-30,False
asos,2021-05,cashmere,0.0,37,2021-05-31,False
asos,2021-05,cotton,0.100113,37,2021-05-31,False
asos,2021-05,denim,0.080811,37,2021-05-31,False
asos,2021-05,elastane,0.019613,37,2021-05-31,False
asos,2021-05,leather,0.013514,37,2021-05-31,False
asos,2021-05,linen,0.006216,37,2021-05-31,False
asos,2021-05,nylon,0.012166,37,2021-05-31,False
asos,2021-05,other,0.023306,37,2021-05-31,False
asos,2021-05,polyester,0.60103,37,2021-05-31,False
asos,2021-05,silk,0.0,37,2021-05-31,False
asos,2021-05,technical,0.007432,37,2021-05-31,False
asos,2021-05,viscose,0.1358,37,2021-05-31,False
asos,2021-05,wool,0.0,37,2021-05-31,False
asos,2021-06,cashmere,0.0,34,2021-06-30,False
asos,2021-06,cotton,0.306497,34,2021-06-30,False
asos,2021-06,denim,0.029412,34,2021-06-30,False
asos,2021-06,elastane,0.032866,34,2021-06-30,False
asos,2021-06,leather,0.063725,34,2021-06-30,False
asos,2021-06,linen,0.0,34,2021-06-30,False
asos,2021-06,nylon,0.054219,34,2021-06-30,False
asos,2021-06,other,0.083333,34,2021-06-30,False
asos,2021-06,polyester,0.36181,34,2021-06-30,False
asos,2021-06,silk,0.0,34,2021-06-30,False
asos,2021-06,technical,0.009804,34,2021-06-30,False
asos,2021-06,viscose,0.058333,34,2021-06-30,False
asos,2021-06,wool,0.0,34,2021-06-30,False
asos,2021-07,cashmere,0.0,18,2021-07-31,True
asos,2021-07,cotton,0.061111,18,2021-07-31,True
asos,2021-07,denim,0.055556,18,2021-07-31,True
asos,2021-07,elastane,0.011667,18,2021-07-31,True
asos,2021-07,leather,0.101852,18,2021-07-31,True
asos,2021-07,linen,0.0,18,2021-07-31,True
asos,2021-07,nylon,0.012778,18,2021-07-31,True
asos,2021-07,other,0.175926,18,2021-07-31,True
asos,2021-07,polyester,0.392778,18,2021-07-31,True
asos,2021-07,silk,0.0,18,2021-07-31,True
asos,2021-07,technical,0.0,18,2021-07-31,True
asos,2021-07,viscose,0.188333,18,2021-07-31,True
asos,2021-07,wool,0.0,18,2021-07-31,True
asos,2021-08,cashmere,0.0,34,2021-08-31,False
asos,2021-08,cotton,0.187738,34,2021-08-31,False
asos,2021-08,denim,0.0,34,2021-08-31,False
asos,2021-08,elastane,0.017053,34,2021-08-31,False
asos,2021-08,leather,0.093137,34,2021-08-31,False
asos,2021-08,linen,0.0,34,2021-08-31,False
asos,2021-08,nylon,0.022909,34,2021-08-31,False
asos,2021-08,other,0.247899,34,2021-08-31,False
asos,2021-08,polyester,0.337828,34,2021-08-31,False
